timestamp,wind_direction,wind_speed,wind_gust
2025-01-01 13:40:00+00:00,10.0,1.08,2.7
2025-01-01 13:50:00+00:00,0.0,1.08,4.32
2025-01-01 14:00:00+00:00,5.0,1.62,4.32
2025-01-01 14:10:00+00:00,355.0,1.08,3.78
2025-01-01 14:20:00+00:00,340.0,1.62,3.24
2025-01-01 14:30:00+00:00,0.0,2.16,4.86
2025-01-01 14:40:00+00:00,10.0,1.08,4.86
2025-01-01 14:50:00+00:00,0.0,2.7,4.32
2025-01-01 15:00:00+00:00,0.0,2.7,4.86
2025-01-01 15:10:00+00:00,15.0,1.08,3.78
2025-01-01 15:20:00+00:00,0.0,1.62,3.24
2025-01-01 15:30:00+00:00,,0.0,4.86
2025-01-01 15:40:00+00:00,40.0,0.54,1.62
2025-01-01 15:50:00+00:00,335.0,2.7,4.86
2025-01-01 16:00:00+00:00,5.0,3.24,5.94
2025-01-01 16:10:00+00:00,0.0,2.7,5.94
2025-01-01 16:20:00+00:00,0.0,3.24,5.94
2025-01-01 16:30:00+00:00,0.0,3.78,6.48
2025-01-01 16:40:00+00:00,0.0,3.24,5.94
2025-01-01 16:50:00+00:00,5.0,3.24,6.48
2025-01-01 17:00:00+00:00,25.0,4.32,6.48
2025-01-01 17:10:00+00:00,20.0,2.7,4.86
2025-01-01 17:20:00+00:00,5.0,2.7,5.4
2025-01-01 17:30:00+00:00,5.0,3.78,7.56
2025-01-01 17:40:00+00:00,45.0,2.7,5.94
2025-01-01 17:50:00+00:00,0.0,2.7,5.4
2025-01-01 18:00:00+00:00,0.0,3.24,5.4
2025-01-01 18:10:00+00:00,355.0,3.78,5.94
2025-01-01 18:20:00+00:00,5.0,3.78,6.48
2025-01-01 18:30:00+00:00,0.0,3.24,6.48
2025-01-01 18:40:00+00:00,5.0,3.24,6.48
2025-01-01 18:50:00+00:00,5.0,3.78,6.48
2025-01-01 19:00:00+00:00,0.0,3.24,6.48
2025-01-01 19:10:00+00:00,10.0,3.78,7.02
2025-01-01 19:20:00+00:00,0.0,3.24,7.56
2025-01-01 19:30:00+00:00,20.0,3.24,5.4
2025-01-01 19:40:00+00:00,20.0,3.24,7.02
2025-01-01 19:50:00+00:00,15.0,3.78,6.48
2025-01-01 20:00:00+00:00,30.0,3.78,8.1
2025-01-01 20:10:00+00:00,25.0,3.24,7.56
2025-01-01 20:20:00+00:00,5.0,3.24,7.02
2025-01-01 20:30:00+00:00,25.0,3.78,7.56
2025-01-01 20:40:00+00:00,20.0,2.7,7.56
2025-01-01 20:50:00+00:00,0.0,3.24,5.94
2025-01-01 21:00:00+00:00,0.0,2.7,5.4
2025-01-01 21:10:00+00:00,20.0,2.16,5.94
2025-01-01 21:20:00+00:00,25.0,3.24,7.56
2025-01-01 21:30:00+00:00,30.0,1.62,5.4
2025-01-01 21:40:00+00:00,30.0,2.7,5.94
2025-01-01 21:50:00+00:00,10.0,1.08,4.86
2025-01-01 22:00:00+00:00,10.0,2.16,4.32
2025-01-01 22:10:00+00:00,0.0,2.16,4.86
2025-01-01 22:20:00+00:00,30.0,2.16,5.4
2025-01-01 22:30:00+00:00,0.0,1.62,4.86
2025-01-01 22:40:00+00:00,0.0,2.16,4.32
2025-01-01 22:50:00+00:00,0.0,2.7,4.86
2025-01-01 23:00:00+00:00,5.0,1.62,4.32
2025-01-01 23:10:00+00:00,0.0,2.16,3.78
2025-01-01 23:20:00+00:00,5.0,2.16,3.78
2025-01-01 23:30:00+00:00,10.0,1.08,4.32
2025-01-01 23:40:00+00:00,5.0,2.16,3.78
2025-01-01 23:50:00+00:00,0.0,1.62,3.78
